SP19-BS(CS)-7-A ,Compiler Construction,1,10,CS Ms. Zamzam,MS Lab
SP19-BS(CS)-7-A ,Artificial Intelligence,1,1000,CS Ms. Azka Mehmood,MS Lab
SP19-BS(CS)-7-B,Artificial Intelligence,1,1,CS Ms. Azka Mehmood,C4
SP19-BS(CS)-7-B,Artificial Intelligence,1,10000,CS Ms. Azka Mehmood,C1.2
SP19-BS(CS)-7-B,Human Computer Interaction,1,100,CS Ms. Zamzam,C lab5
SP19-BS(CS)-7-B,Compiler Construction,1,10,CS Ms. Zamzam,MS Lab
SP19-BS(CS)-7-B,Artificial Intelligence,1,1000,CS Ms. Azka Mehmood,MS Lab
SP22-BBA-B30,Introduction to Business,1,100,MS Dr Muzhar Javed,B5
SP22-BBA-B30,Introduction to Business,1,10000,MS Dr Muzhar Javed,B7
SP22-BBA-B30,Introduction to Management,1,1000,MS Mr Bilal Mian,B12
SP22-BBA-B30,Introduction to Management,1,10,MS Mr Bilal Mian,B13
FA21-BBA-B29,Accounting I,1,10000,MS Mr Hafiz Yasir,B5
FA21-BBA-B29,Accounting I,1,1000,MS Mr Hafiz Yasir,B8
SP21-BBA-B28,Business Mathematics II,1,10000,MT Mr. Fakhar,B4
SP21-BBA-B28,ACC II,1,1,MS Dr Khurram Abbas,B8
SP21-BBA-B28,BCW,1,1000,MS Mr M Badar Iqbal,B13
SP21-BBA-B28,Introduction to Sociology,1,10,MS Mr M Zia Hassan,B14
FA20-BBA-B27 (A),Human Resource Management,1,1,MS Dr M Waheed Akthar,B1
FA20-BBA-B27 (A),CA,1,100,MS Mr Bilal Lodhi,B1
FA20-BBA-B27 (A),Statistical Inference,1,1000,MS Dr HM Arshad,B9
FA20-BBA-B27 (A),Human Resource Management,1,10,MS Dr M Waheed Akthar,B11
FA20-BBA-B27 (B),Chinese,1,1,ME Mr. Ghulam Mustafa,B4
FA20-BBA-B27 (B),Statistical Inference,1,10000,MS Dr HM Arshad,B6
FA20-BBA-B27 (B),HRM - CHRP,1,1000,MS Dr M Waheed Akthar,B10
FA19-BBA-B25 (A),Business Law,1,10000,MS Usman Shahid,B1
FA19-BBA-B25 (A),Business Law,1,1,MS Usman Shahid,B6
FA19-BBA-B25 (A),OB,1,10,MS Mr Ali Kirmani,B10
FA19-BBA-B25 (B),Business Law,1,10000,MS Usman Shahid,B1
FA19-BBA-B25 (B),Business Law,1,1,MS Usman Shahid,B6
SP19-BBA-B24,Consumer Behavior,1,1000,MS Dr Saqib Ali,B4
SP19-BBA-B24,Corporate Law,1,1,MS Dr Khurram Chandia,B7
SP19-BBA-B24,Consumer Behavior,1,10,MS Dr Saqib Ali,B7
FA18-BBA-B23,CF,1,10,MS Mr M Shoaib Sajjad,B1
FA18-BBA-B23,Chinese,1,1,ME Mr. Ghulam Mustafa,B4
FA18-BBA-B23,Consumer Behavior,1,1000,MS Dr Saqib Ali,B4
FA18-BBA-B23,Consumer Behavior,1,10,MS Dr Saqib Ali,B7
FA18-BBA-B23,CF,1,100,MS Mr M Shoaib Sajjad,B7
SP21-BAF-B10,Business Law,1,10000,MS Usman Shahid,B1
SP21-BAF-B10,Business Law,1,1,MS Usman Shahid,B6
SP21-BAF-B10,BCW,1,1000,MS Mr M Badar Iqbal,B13
FA20-BAF-B9,FIM & MFI,1,10,MS Dr Minhas Akbar,B6
FA20-BAF-B9,Corporate Law,1,1,MS Dr Khurram Chandia,B7
FA20-BAF-B9,IFA,1,10000,MS Mr Bilal Lodhi,B12
FA21-MBA-B3,TOM,1,1,MS Mr M Haris,B13
SP21-MBA-B2,TOM,1,1,MS Mr M Haris,B13
FA20-MBA-B1,HRM - CHRP,1,1000,MS Dr M Waheed Akthar,B10
FA20-MBA-B1,TOM,1,1,MS Mr M Haris,B13
FA21-BSCVE-B5,Engineering Geology,2,10000,CVE Engr. Bilal Rafiq,A1
FA21-BSCVE-B5,Differential Equations,2,1,EE Ms Amna Bashir,A2.1
FA21-BSCVE-B5,Civil Engineering Materials,2,10,CVE Engr. Fayyaz Ulhaq,B4
FA21-BSCVE-B5,Introduction to Computer Programming,2,1000,ME Mr. Muhammad Hunzala,B6
FA21-BSCVE-B5,Introduction to Computer Programming,2,100,ME Ms.Saba Gull,C Lab3
FA20-BSCVE-B4,Advanced Surveying,2,1000,CVE Engr. Tafheem Abbas,W2
